<NUMBER OF ZONES> 1698
<NUMBER OF NODES> 7926
<FIRST THRU NODE> 0
<NUMBER OF LINKS> 21194
<MINIMUM_NODE_ID> 0
<TRIP_FORMAT> 1
<COST_FUN_TYPE> 1
<END OF METADATA>

~origin    dest    capacity    length    fft    alpha    beta    speed_limit    toll    FTYPE    ATYPE    AMLANE    slope    fld    slr    tpa    bri
19    1757    22050.0    0.39    1.02    7    1.08    99    0.00    0    3    7   -0.01   9999   9999   0   0.000000;
20    1819    22050.0    0.35    1.24    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
20    1822    22050.0    0.14    0.49    15    1.04    99    0.00    0    2    7   -0.04   9999   9999   0   0.000000;
20    2249    22050.0    0.44    1.55    15    1.04    99    0.00    0    2    7   -0.04   9999   9999   0   0.000000;
20    2250    22050.0    0.32    1.13    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
21    1824    22050.0    0.31    1.09    15    1.04    99    0.00    0    2    7   -0.01   9999   9999   0   0.000000;
21    2053    22050.0    0.23    0.81    15    1.04    99    0.00    0    2    7   -0.04   9999   9999   0   0.000000;
22    2337    22050.0    0.38    1.34    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   0.000000;
23    2053    22050.0    0.35    1.24    15    1.04    99    0.00    0    2    7   -0.00   9999   9999   0   0.000000;
23    2054    22050.0    0.34    1.20    15    1.04    99    0.00    0    2    7   0.05   9999   9999   0   0.000000;
23    2353    22050.0    0.28    0.99    15    1.04    99    0.00    0    2    7   0.05   9999   9999   0   0.000000;
24    2245    22050.0    0.45    1.59    15    1.04    99    0.00    0    2    7   0.01   9999   9999   0   1163.880000;
24    2247    22050.0    0.29    1.02    15    1.04    99    0.00    0    2    7   0.02   9999   9999   0   0.000000;
24    2248    22050.0    0.27    0.95    15    1.04    99    0.00    0    2    7   0.05   9999   9999   0   0.000000;
25    1840    22050.0    0.23    0.81    15    1.04    99    0.00    0    2    7   -0.01   9999   9999   0   0.000000;
25    2339    22050.0    0.43    1.52    15    1.04    99    0.00    0    2    7   -0.00   9999   9999   0   0.000000;
